metric_time__year,spend_item__it_designation,spend_item__it_tower,it_spend
2027-01-01 00:00:00,F50_AGENCY,AI and Emerging Tech,2126332
2027-01-01 00:00:00,F50_AGENCY,Network,1993392
2024-01-01 00:00:00,F50_AGENCY,Network,3529385
2026-01-01 00:00:00,MITDP,Compute,3000000
2020-01-01 00:00:00,ITIF,Network,152500
2021-01-01 00:00:00,ITIF,Application,57832728
2021-01-01 00:00:00,F50_AGENCY,Application,14881
2027-01-01 00:00:00,MITDP,Network,1500000
2024-01-01 00:00:00,ITIF,Network,3595091
2024-01-01 00:00:00,F50_AGENCY,Delivery,1669157
2025-01-01 00:00:00,,,0
2021-01-01 00:00:00,MITDP,Network,1137248
2021-01-01 00:00:00,F50_AGENCY,Tech Management,7817342
2027-01-01 00:00:00,MITDP,Compute,2500000
2023-01-01 00:00:00,MITDP,End User,7900000
2024-01-01 00:00:00,MITDP,Security,127880
2025-01-01 00:00:00,F50_AGENCY,Application,1542621
2021-01-01 00:00:00,MITDP,Compute,915204
2027-01-01 00:00:00,ITIF,Compute,500000
2021-01-01 00:00:00,,,0
2023-01-01 00:00:00,MITDP,Network,13600
2023-01-01 00:00:00,ITIF,Data Center,6595000
2024-01-01 00:00:00,,,0
2024-01-01 00:00:00,MITDP,Data,442068
2025-01-01 00:00:00,MITDP,Network,1217864
2020-01-01 00:00:00,MITDP,Data Center,1428000
2027-01-01 00:00:00,,,0
2027-01-01 00:00:00,MITDP,Data,17040020
2024-01-01 00:00:00,ITIF,Data,1050000
2025-01-01 00:00:00,F50_AGENCY,Network,2944243
2020-01-01 00:00:00,F50_AGENCY,Security,5634781
2021-01-01 00:00:00,MITDP,Data,3230
2021-01-01 00:00:00,ITIF,Data Center,8089000
2027-01-01 00:00:00,ITIF,Application,67395155
2023-01-01 00:00:00,MITDP,Data,811375
2023-01-01 00:00:00,F50_AGENCY,Delivery,6813518
2024-01-01 00:00:00,MITDP,Network,182438
2025-01-01 00:00:00,MITDP,Data,2286806
2025-01-01 00:00:00,ITIF,Data Center,50000
2027-01-01 00:00:00,F50_AGENCY,Security,55555467
2023-01-01 00:00:00,,,0
2023-01-01 00:00:00,MITDP,Tech Management,1850000
2024-01-01 00:00:00,F50_AGENCY,Security,41320154
2025-01-01 00:00:00,ITIF,Network,114647
2026-01-01 00:00:00,ITIF,Application,126892164
2026-01-01 00:00:00,F50_AGENCY,Application,8710101
2023-01-01 00:00:00,MITDP,Delivery,3500000
2023-01-01 00:00:00,ITIF,Compute,1600000
2025-01-01 00:00:00,ITIF,Application,64130786
2026-01-01 00:00:00,F50_AGENCY,AI and Emerging Tech,671801
2026-01-01 00:00:00,F50_AGENCY,Network,1993392
2020-01-01 00:00:00,MITDP,Compute,1028406
2021-01-01 00:00:00,F50_AGENCY,Security,3806491
2026-01-01 00:00:00,MITDP,Application,224625931
2027-01-01 00:00:00,F50_AGENCY,Data,2000000
2020-01-01 00:00:00,MITDP,Security,245733
2023-01-01 00:00:00,F50_AGENCY,Tech Management,22292298
2024-01-01 00:00:00,MITDP,Application,157084549
2025-01-01 00:00:00,MITDP,Compute,1349664
2025-01-01 00:00:00,F50_AGENCY,Security,60290330
2020-01-01 00:00:00,,,0
2020-01-01 00:00:00,F50_AGENCY,Network,5549674
2023-01-01 00:00:00,ITIF,Network,1072278
2023-01-01 00:00:00,F50_AGENCY,Application,403871
2020-01-01 00:00:00,MITDP,Network,4133045
2027-01-01 00:00:00,MITDP,Security,1300000
2023-01-01 00:00:00,MITDP,Application,164032708
2025-01-01 00:00:00,MITDP,Application,170105147
2026-01-01 00:00:00,F50_AGENCY,Tech Management,22330941
2020-01-01 00:00:00,F50_AGENCY,Data,118600
2021-01-01 00:00:00,MITDP,Security,369612
2023-01-01 00:00:00,ITIF,Application,84924265
2023-01-01 00:00:00,F50_AGENCY,Network,2960225
2025-01-01 00:00:00,ITIF,Compute,50000
2026-01-01 00:00:00,MITDP,Security,1300000
2026-01-01 00:00:00,F50_AGENCY,Data,2020764
2020-01-01 00:00:00,MITDP,Application,228807309
2020-01-01 00:00:00,F50_AGENCY,Tech Management,9937135
2026-01-01 00:00:00,,,0
2023-01-01 00:00:00,F50_AGENCY,Security,47751698
2024-01-01 00:00:00,ITIF,Data Center,2094261
2025-01-01 00:00:00,F50_AGENCY,Tech Management,20665281
2026-01-01 00:00:00,MITDP,Network,1000000
2027-01-01 00:00:00,MITDP,Application,144332625
2027-01-01 00:00:00,F50_AGENCY,Tech Management,114115022
2024-01-01 00:00:00,ITIF,Application,87757701
2024-01-01 00:00:00,F50_AGENCY,Tech Management,22896317
2025-01-01 00:00:00,MITDP,Security,484397
2025-01-01 00:00:00,F50_AGENCY,Compute,2900000
2021-01-01 00:00:00,MITDP,Application,219735928
2027-01-01 00:00:00,F50_AGENCY,Application,15461916
2024-01-01 00:00:00,F50_AGENCY,Application,251045
2026-01-01 00:00:00,MITDP,Data,1000000
2026-01-01 00:00:00,F50_AGENCY,Security,60104400
2020-01-01 00:00:00,ITIF,Application,76991116
2021-01-01 00:00:00,ITIF,Network,956930
2021-01-01 00:00:00,F50_AGENCY,Network,1894000
